team,win_prob,final_prob,semi_final_prob,quarter_final_prob
Argentina,0.677,0.7801,0.8803,0.8955
France,0.1705,0.5415,1.7009,1.9919
Spain,0.1106,0.345,0.3604,0.8875
England,0.0204,0.0415,0.241,0.8169
Colombia,0.0076,0.017,0.0641,0.956
Switzerland,0.0068,0.0153,0.0539,0.1045
Mexico,0.0031,0.0058,0.0494,0.1831
United States,0.0029,0.2398,0.5321,0.8197
Portugal,0.0008,0.0075,0.091,0.1125
Belgium,0.0002,0.0049,0.0165,0.1803
Morocco,0.0001,0.0015,0.0087,1.0081
Paraguay,0.0,0.0,0.0,0.0
Czechia,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0
Brazil,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0
Cape Verde,0.0,0.0,0.0,0.0
Curaçao,0.0,0.0,0.0,0.0
Ivory Coast,0.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0
Egypt,0.0,0.0001,0.0017,0.044
Norway,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0
DR Congo,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,0.0
Ghana,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0
